,Unnamed: 0.1,Unnamed: 0,Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
1490,1490,1490,897963,2021,Abu Dhabi,September,Monday,At noon,the third week,Be shocked,Failure to adhere to traffic signs,Riyadh city,Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,7,Female,40,1,There is no,Vertical cross intersection,1
1491,1491,1491,897964,2021,Sharjah,July,Sunday,Evening,the third week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Al -Orouba Street,garden,Jubail,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,29,Male,60,2,There is no,Not on or by (20) meters of a,1
1492,1492,1492,897965,2021,Ras Al Khaimah,October,Monday,In the afternoon,The first week,Shock,Not adhering to the mandatory itinerary,Emirates Street Transit Street,Others,Stagnation,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Simple,76,Male,120,3,There is no,Not at intersection,1
1493,1493,1493,897966,2021,Abu Dhabi,February,Tuesday,In the afternoon,the third week,Shock,Driving the vehicle under the influence of narcotic substances or mental effects or,Sheikh Mohammed bin Rashid Al Maktoum Street,External road,There is no definition of regions,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,40,Male,140,3,There is no,Not on or by (20) meters of a,1
1494,1494,1494,897967,2021,Sharjah,March,Saturday,In the afternoon,fourth week,Deterioration,Sudden deviation,Sheikh Khalid bin Mohammed Al Qasimi Street,Commercial area,Sheikh Khaled Road,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,19,Male,60,2,There is no,Not on or by (20) meters of a,1
1495,1495,1495,897968,2021,Abu Dhabi,November,Thursday,At noon,the third week,Shock,Not leaving enough distance,Sultan Bin Zayed the First Street (Thirty Two),Governmental,There is no definition of regions,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,40,Male,80,4,There is no,Not on or by (20) meters of a,1
1496,1496,1496,897969,2021,Abu Dhabi,May,Monday,At noon,second week,Be shocked,Fatigue and drowsiness,Abu Dhabi Road - Al Ain,External road,Al Wathba (East + West),Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,23,Male,120,3,There is no,Not on or by (20) meters of a,1
1497,1497,1497,897970,2021,Abu Dhabi,January,Friday,Evening,The fifth week,Deterioration,Failure to adhere to traffic signs,Armored road,Industrial area,Industrial Archbishop,Intersection,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Simple,23,Male,80,2,There is no,Vertical cross intersection,1
1498,1498,1498,897971,2021,Abu Dhabi,February,Friday,Evening,fourth week,Shock,Not leaving enough distance,Abu Dhabi Road - Al Ain,Residential area,Treasury Bridge,Other (select),Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,3,Male,160,4,There is no,Not on or by (20) meters of a,1
1499,1499,1499,897972,2021,Abu Dhabi,April,Sunday,Before noon,fourth week,Be shocked,Enter a major road without making sure that it is free,Truck Road,External road,There is no definition of regions,Individual,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,26,Male,80,1,There is no,Not on or by (20) meters of a,1
1500,1500,1500,897973,2021,Ras Al Khaimah,April,Friday,Before noon,second week,Run,Preoccupation with the road while driving the vehicle in any way,Al -Faisal Street near the agencies,Commercial area,Old Ras Al Khaimah,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Simple,8,Male,80,3,He crosses not on transit lines,Not at intersection,1
1501,1501,1501,897974,2021,Fujairah,April,Sunday,In the afternoon,second week,Consecutive,Not leaving enough distance,Sheikh Maktoum Bin Rashid Street,External road,Thoban area,Double road,day,crowded,No Clouds,Temple,passenger,Rapid in the back seat,Simple,24,Male,100,2,There is no,Not on or by (20) meters of a,1
1502,1502,1502,897975,2021,Abu Dhabi,August,Friday,In the afternoon,The first week,Deterioration,Driving the vehicle under the influence of alcohol,Al -Mafraq Al -Shawamik Street,Tunnel / Bridge,Mafraq Bridge,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,67,Male,80,2,There is no,Not on or by (20) meters of a,1
1503,1503,1503,897976,2021,Abu Dhabi,September,Monday,At noon,the third week,Be shocked,Failure to adhere to traffic signs,Riyadh city,Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,49,Male,40,1,There is no,Vertical cross intersection,1
1504,1504,1504,897977,2021,Abu Dhabi,April,Tuesday,Evening,The first week,Shock,Driving the vehicle under the influence of alcohol,Sultan Bin Zayed the First Street (Thirty Two),Commercial area,There is no definition of regions,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,28,Male,80,4,There is no,Not at intersection,1
1505,1505,1505,897978,2021,Ras Al Khaimah,October,Tuesday,Evening,fourth week,Shock,Not adhering to the mandatory itinerary,Al -Ittihad Street from Al -Sarramic Roundabout to Morgan Borders,Others,The Red Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,37,Male,100,3,There is no,Not at intersection,1
1506,1506,1506,897979,2021,Ras Al Khaimah,January,Friday,Evening,fourth week,Deterioration,Negligence and lack of attention,Al -Jazeera Al -Hamra area,Others,The Red Island,Dhuatatin Road,Night - weak lighting,curve,No Clouds,Temple,passenger,Rapid in the back seat,Simple,25,Female,60,2,There is no,Others,1
1507,1507,1507,897980,2021,Abu Dhabi,October,Sunday,Evening,fourth week,A fixed body shocked the road,Not adhering to the mandatory itinerary,Twenty Fifth Street,Residential area,Supervisor,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,25,Male,60,3,There is no,Not at intersection,1
1508,1508,1508,897981,2021,Abu Dhabi,April,Sunday,Before noon,second week,Be shocked,Fatigue and drowsiness,General Street (Abu Dhabi - Commodities),External road,Ruwais,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,20,Male,160,3,There is no,Not on or by (20) meters of a,1
1509,1509,1509,897982,2021,Ras Al Khaimah,November,Tuesday,Before noon,the third week,Shock,Not leaving enough distance,Sheikh Mohammed bin Zayed Street,Others,The Red Island,public road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,35,Male,120,3,There is no,Not at intersection,1
1510,1510,1510,897983,2021,Sharjah,April,Saturday,Evening,the third week,Run,Negligence and lack of attention,Omar bin al-Khattab Street,Mosque,Butter,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,8,Female,60,2,He crosses not on transit lines,Not on or by (20) meters of a,1
1511,1511,1511,897984,2021,Abu Dhabi,November,Monday,Evening,the third week,Be shocked,Not adhering to the mandatory itinerary,El-Shikh Zayed street,Tunnel / Bridge,Sa`da Bridge,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,20,Male,100,4,There is no,Not at intersection,1
1512,1512,1512,897985,2021,Abu Dhabi,August,Saturday,Evening,The first week,Shocked,Negligence and lack of attention,Truck Road,Others,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,42,Male,20,2,Familiar,Not on or by (20) meters of a,1
1513,1513,1513,897986,2021,Ajman,August,Sunday,Evening,the third week,Run,Negligence and lack of attention,Sheikh Rashid Bin Humaid Street,Commercial area,Rumor,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,63,Male,50,0,There is no,Not on or by (20) meters of a,1
1514,1514,1514,897987,2021,Abu Dhabi,Dec,Sunday,In the afternoon,second week,Shock,Overcoming the red light signal - the arrow signal,Sultan Bin Zayed the First Street (Thirty Two),Governmental,There is no definition of regions,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,34,Male,100,3,There is no,Vertical cross intersection,1
1515,1515,1515,897988,2021,Abu Dhabi,May,Monday,Evening,The first week,Shock,Speed without taking into account the road conditions,General Street (Abu Dhabi - Commodities),Tunnel / Bridge,Ruwais,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,42,Male,80,3,There is no,Not on or by (20) meters of a,1
1516,1516,1516,897989,2021,Sharjah,February,Thursday,Before noon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Hospital roundabout,hospital,Yarmouk,public road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,18,Male,80,2,There is no,vertigo,1
1517,1517,1517,897990,2021,Umm Al Quwain,November,Thursday,Evening,the third week,Deterioration,Sudden deviation,Sheikh Mohammed bin Zayed Street (Umm Al Qain - Ras Al Khaimah),Petrol station,Navel,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,47,Male,120,3,There is no,Not on or by (20) meters of a,1
1518,1518,1518,897991,2021,Abu Dhabi,Dec,Thursday,Before noon,the third week,Shock,Overcoming the red light signal - the arrow signal,Arabian Gulf Street(Thirty),Residential area,Ventricle,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,32,Female,80,4,There is no,Vertical cross intersection,1
1519,1519,1519,897992,2021,Abu Dhabi,July,Sunday,In the afternoon,the third week,Shock,Driving without a driver's license at all,Al -Mafraq Al -Shawamik Street,Residential area,Bani Yas (East),Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,18,Male,60,2,There is no,Not on or by (20) meters of a,1
1520,1520,1520,897993,2021,Abu Dhabi,October,Thursday,At noon,The first week,Shock,Failure to adhere to traffic signs,Sultan Bin Zayed the First Street (Thirty Two),Governmental,There is no definition of regions,Dhuatatin Road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,9,Female,40,2,There is no,Not at intersection,1
1521,1521,1521,897994,2021,Abu Dhabi,Dec,Sunday,Evening,the third week,Be shocked,Fatigue and drowsiness,General Street (Abu Dhabi - Commodities),Governmental,Commodity,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,28,Male,80,3,Familiar,Not on or by (20) meters of a,1
1522,1522,1522,897995,2021,Abu Dhabi,April,Wednesday,At noon,fourth week,Deterioration,Heavy rains,Al -Hilwear Street,Sandy area,Zayed City Street - Ghayathi,Double road,day,Other (select),windy,Foundation,passenger,A passenger in the front seat,Simple,43,Male,80,2,There is no,Not on or by (20) meters of a,1
1523,1523,1523,897996,2021,Abu Dhabi,Dec,Saturday,In the afternoon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,There is no definition,Tunnel / Bridge,Between the two bridges,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,32,Female,100,3,There is no,Not at intersection,1
1524,1524,1524,897997,2021,Abu Dhabi,January,Saturday,In the afternoon,the third week,Deterioration,Not adhering to the mandatory itinerary,Zayed City Street (New),Sandy area,Habshan,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,51,Male,50,2,There is no,vertigo,1
1525,1525,1525,897998,2021,Fujairah,February,Tuesday,Before noon,The first week,Shock,Not leaving enough distance,Al -Tuwayen Street towards Dibba,Mountainous area,Al -Tuwayen area,Dhuatatin Road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,40,Male,100,2,There is no,Not on or by (20) meters of a,1
1526,1526,1526,897999,2021,Ras Al Khaimah,August,Tuesday,Evening,The first week,A fixed body shocked the road,Sudden deviation,Al -Saadi Al -Tawiyeen Street,Others,Stagnation,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,29,Male,100,2,There is no,Not at intersection,1
1527,1527,1527,898000,2021,Abu Dhabi,February,Monday,Evening,fourth week,Shock,Overcoming the red light signal - the arrow signal,El-Shikh Zayed street,Residential area,There is no definition of regions,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,30,Female,80,4,There is no,Vertical cross intersection,1
1528,1528,1528,898001,2021,Abu Dhabi,September,Wednesday,In the afternoon,fourth week,Shock,Negligence and lack of attention,Baynunah Street(Thirty Four),Residential area,Ventricle,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,35,Male,80,3,There is no,Not at intersection,1
1529,1529,1529,898002,2021,Ajman,August,Friday,Evening,second week,Deterioration,Sudden deviation,Sheikh Mohammed bin Zayed Street,External road,Hill,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,32,Male,120,0,There is no,Not on or by (20) meters of a,1
1530,1530,1530,898003,2021,Abu Dhabi,August,Sunday,In the afternoon,The first week,Cross -100,Exaggeration in a place where transgression is forbidden,Sweihan Road,Tunnel / Bridge,The farmer,Dhuatatin Road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,27,Female,80,2,There is no,Not on or by (20) meters of a,1
1531,1531,1531,898004,2021,Abu Dhabi,March,Friday,At noon,the third week,Cross -100,Exaggeration in a place where transgression is forbidden,Al -Mafraq Al -Shawamik Street,Industrial area,Mafraq industrial,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,50,Male,60,2,There is no,Not at intersection,1
1532,1532,1532,898005,2021,Abu Dhabi,June,Thursday,Before noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Sweihan Road,External road,Enhanced,Individual,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,25,Male,100,3,There is no,Not on or by (20) meters of a,1
1533,1533,1533,898006,2021,Abu Dhabi,August,Sunday,Evening,second week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Yas Street One,External road,Yass Island,public road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,32,Male,140,5,There is no,Not at intersection,1
1534,1534,1534,898007,2021,Sharjah,May,Monday,Before noon,second week,Cross -100,Not leaving enough distance,Wadi Al -Madiq Street,External road,Sweet Valley,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,25,Male,80,2,There is no,Not on or by (20) meters of a,1
1535,1535,1535,898008,2021,Abu Dhabi,January,Friday,At noon,fourth week,Shock,Not to make the road / not to give the brigades,Inner Street No. (Three),Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,13,Male,60,2,There is no,A meeting of half -vertical roads,1
1536,1536,1536,898009,2021,Sharjah,August,Tuesday,Evening,fourth week,Shock,Not leaving enough distance,Nahda Street,Residential area,Nomination,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,23,Male,80,3,There is no,Not on or by (20) meters of a,1
1537,1537,1537,898010,2021,Abu Dhabi,October,Saturday,Before noon,The first week,Deterioration,Preoccupation with the road while driving the vehicle in any way,The shampoo,Tunnel / Bridge,There is no definition of regions,Individual,day,Wicked (Bad),fog,Temple,passenger,Rapid in the back seat,Simple,16,Male,80,1,There is no,Not on or by (20) meters of a,1
1538,1538,1538,898011,2021,Umm Al Quwain,November,Thursday,Evening,the third week,Deterioration,Sudden deviation,Sheikh Mohammed bin Zayed Street (Umm Al Qain - Ras Al Khaimah),Petrol station,Navel,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,45,Male,120,3,There is no,Not on or by (20) meters of a,1
1539,1539,1539,898012,2021,Abu Dhabi,November,Friday,At noon,second week,Shock,Overcoming the red light signal - the arrow signal,Rashid between Sayed Al Maktoum Street (Tah),Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,8,Male,100,4,There is no,Vertical cross intersection,1
1540,1540,1540,898013,2021,Abu Dhabi,October,Saturday,Before noon,The first week,Deterioration,Preoccupation with the road while driving the vehicle in any way,The shampoo,Tunnel / Bridge,There is no definition of regions,Individual,day,Wicked (Bad),fog,Temple,passenger,Rapid in the back seat,Simple,17,Male,80,1,There is no,Not on or by (20) meters of a,1
1541,1541,1541,898014,2021,Abu Dhabi,January,Friday,At noon,fourth week,Deterioration,Not adhering to the mandatory itinerary,Truck Road (Abu Dhabi-Al Ain),External road,Al -Anka,Dhuatatin Road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,43,Male,100,2,There is no,Not at intersection,1
1542,1542,1542,898015,2021,Abu Dhabi,August,Thursday,At noon,The first week,Be shocked,Overcoming the red light signal - the arrow signal,Eastern Street (Al Traffic) (Four),Commercial area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,36,Male,80,3,There is no,Vertical cross intersection,1
1543,1543,1543,898016,2021,Fujairah,February,Sunday,Evening,second week,Run,Negligence and lack of attention,Al -Rashidiya Street,Mosque,Dibba Al -Fujairah / Al -Rashidiya area,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Simple,43,Male,40,2,He crosses not on transit lines,Not on or by (20) meters of a,1
1544,1544,1544,898017,2021,Abu Dhabi,November,Friday,Evening,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,External road,magnanimity,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,32,Male,140,4,There is no,Not on or by (20) meters of a,1
1545,1545,1545,898018,2021,Abu Dhabi,November,Sunday,Before noon,second week,Shock,Not leaving enough distance,Sheikh Khalifa Bridge,Tunnel / Bridge,Sa'adiat Island,bridge,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,39,Male,100,4,There is no,Not at intersection,1
1546,1546,1546,898019,2021,Abu Dhabi,July,Sunday,Before noon,second week,Shock,Overcoming the red light signal,Arabian Gulf Street(Thirty),Governmental,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,57,Female,100,4,There is no,Vertical cross intersection,1
1547,1547,1547,898020,2021,Abu Dhabi,October,Wednesday,In the afternoon,the third week,Shock,Not adhering to the mandatory itinerary,Khalifa City Bridge,Residential area,The city of Shakhbout,vertigo,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,35,Male,60,3,There is no,vertigo,1
1548,1548,1548,898021,2021,Abu Dhabi,May,Thursday,At noon,second week,Cross -100,Not adhering to the mandatory itinerary,An internal street,Residential area,Fold,Dhuatatin Road,day,curve,No Clouds,dry,driver,Driver,Simple,19,Male,40,2,There is no,Not at intersection,1
1549,1549,1549,898022,2021,Sharjah,November,Tuesday,At noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Khorfakkan Road,External road,Sharjah / Al Dhaid,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,22,Male,120,2,There is no,Not at intersection,1
1550,1550,1550,898023,2021,Abu Dhabi,November,Friday,At noon,second week,Cross -100,Not adhering to the mandatory itinerary,Jabal Hafit Street,Mountainous area,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,29,Male,60,2,There is no,Not at intersection,1
1551,1551,1551,898024,2021,Umm Al Quwain,January,Sunday,Before noon,fourth week,Deterioration,Preoccupation with the road while driving the vehicle in any way,International Federation Street,Commercial area,The Rafeh area,public road,Night - without lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,32,Male,40,2,There is no,vertigo,1
1552,1552,1552,898025,2021,Abu Dhabi,October,Wednesday,In the afternoon,the third week,Shock,Not adhering to the mandatory itinerary,Khalifa City Bridge,Residential area,The city of Shakhbout,vertigo,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,52,Male,60,3,There is no,vertigo,1
1553,1553,1553,898026,2021,Sharjah,September,Saturday,Evening,the third week,Shock,Not leaving enough distance,Sheikh Mohammed bin Zayed Street,Residential area,Party,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,31,Male,120,5,There is no,Not on or by (20) meters of a,1
1554,1554,1554,898027,2021,Abu Dhabi,Dec,Wednesday,In the afternoon,The first week,Consecutive,Not leaving enough distance,corneche Street,Mosque,The port,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,43,Male,80,3,There is no,Vertical cross intersection,1
1555,1555,1555,898028,2021,Abu Dhabi,March,Monday,At noon,fourth week,Shock,Not leaving enough distance,An internal street,Residential area,magnanimity,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,24,Male,60,1,There is no,Not on or by (20) meters of a,1
1556,1556,1556,898029,2021,Abu Dhabi,August,Tuesday,Evening,The fifth week,Be shocked,Not adhering to the mandatory itinerary,Al -Mafraq Al -Shawamik Street,External road,Bani Yas (East),public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,19,Female,60,3,There is no,Not on or by (20) meters of a,1
1557,1557,1557,898030,2021,Abu Dhabi,January,Wednesday,At noon,second week,Deterioration,Preoccupation with the road while driving the vehicle in any way,There is no definition,Island,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,17,Male,80,2,There is no,Not on or by (20) meters of a,1
1558,1558,1558,898031,2021,Abu Dhabi,September,Wednesday,Evening,second week,Run,Driving the vehicle under the influence of alcohol,There is no definition,Industrial area,Industrial Archbishop,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,27,Male,40,1,He crosses not on transit lines,Not on or by (20) meters of a,1
1559,1559,1559,898032,2021,Abu Dhabi,November,Tuesday,Evening,The fifth week,Be shocked,Not adhering to the mandatory itinerary,IP24A Hamdan Bin Mohammed Intersection - 26 Street,Commercial area,Khalidiya,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,75,Female,80,4,There is no,Vertical cross intersection,1
1560,1560,1560,898033,2021,Abu Dhabi,September,Monday,Before noon,The first week,A fixed body shocked the road,Driving without a driver's license at all,Umm Al -Nar Road / Shahama,Residential area,Rest Beach,Individual,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,20,Male,60,1,It crosses the crossing lines,Not on or by (20) meters of a,1
1561,1561,1561,898034,2021,Fujairah,May,Monday,Evening,The first week,Non -moving,Driving under the influence of intoxicant or anesthetic,Riffa Street,External road,Dibba Al -Fujairah / Riffa area,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,21,Male,100,2,There is no,Not at intersection,1
1562,1562,1562,898035,2021,Abu Dhabi,Dec,Thursday,In the afternoon,the third week,Shock,Negligence and lack of attention,Arabian Gulf Street(Thirty),Commercial area,Khalidiya,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,26,Female,100,4,There is no,Not at intersection,1
1563,1563,1563,898036,2021,Abu Dhabi,May,Tuesday,Before noon,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Al Ain Street - Dubai,Petrol station,Hayer,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,31,Male,140,4,There is no,Not on or by (20) meters of a,1
1564,1564,1564,898037,2021,Fujairah,March,Friday,Evening,the third week,Be shocked,Enter a major road without making sure that it is free,The intersection of the Sheikh Zayed Mosque,Commercial area,Dibba area / commercial market,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,26,Male,40,2,There is no,vertigo,1
1565,1565,1565,898038,2021,Sharjah,June,Thursday,Before noon,the third week,Consecutive,Not leaving enough distance,Sheikh Mohammed bin Zayed Street,Residential area,The red patch,Double road,day,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,24,Male,120,4,There is no,Not on or by (20) meters of a,1
1566,1566,1566,898039,2021,Abu Dhabi,Dec,Friday,Evening,The fifth week,Shock,Driving the vehicle under the influence of narcotic substances or mental effects or,Al -Mafraq Al -Shawamik Street,Tunnel / Bridge,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,36,Male,140,3,There is no,Not on or by (20) meters of a,1
1567,1567,1567,898040,2021,Abu Dhabi,March,Monday,In the afternoon,The first week,Shock,Preoccupation with the road while driving the vehicle in any way,Al -Mafraq Al -Shawamik Street,Residential area,Tall,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,31,Male,60,1,There is no,A meeting of half -vertical roads,1
1568,1568,1568,898041,2021,Abu Dhabi,October,Sunday,Evening,the third week,Shock,Overcoming the red light signal - the arrow signal,East Intersection (Traffic) - Twenty First fifth Street,Commercial area,Humper saffron,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,33,Male,80,3,There is no,Vertical cross intersection,1
1569,1569,1569,898042,2021,Fujairah,October,Friday,In the afternoon,the third week,Be shocked,Preoccupation with the road while driving the vehicle in any way,An internal street,Others,Bureaux area,Intersection,day,Other (select),No Clouds,Temple,driver,Driver,Simple,21,Female,30,1,There is no,Not on or by (20) meters of a,1
1570,1570,1570,898043,2021,Fujairah,April,Thursday,Before noon,fourth week,Be shocked,Enter a major road without making sure that it is free,Room Street,Commercial area,Room,public road,day,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Simple,29,Female,60,3,There is no,Hole,1
1571,1571,1571,898044,2021,Sharjah,November,Thursday,Evening,The first week,Run,Negligence and lack of attention,Cooperation Street,Residential area,Gorgeous,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,4,Male,60,3,He crosses not on transit lines,Not on or by (20) meters of a,1
1572,1572,1572,898045,2021,Sharjah,Dec,Sunday,Before noon,The first week,Deterioration,Sudden deviation,Khorfakkan Road,External road,scarf,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,25,Male,120,2,There is no,Not at intersection,1
1573,1573,1573,898046,2021,Abu Dhabi,April,Sunday,Before noon,fourth week,Be shocked,Enter a major road without making sure that it is free,Truck Road,External road,There is no definition of regions,Individual,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,22,Male,80,1,There is no,Not on or by (20) meters of a,1
1574,1574,1574,898047,2021,Sharjah,March,Tuesday,In the afternoon,The first week,Cross -100,Negligence and lack of attention,Al -Waqar Street,Residential area,Alienation,Out of the way,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,23,Male,40,0,There is no,Not on or by (20) meters of a,1
1575,1575,1575,898048,2021,Abu Dhabi,July,Tuesday,At noon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Popularism,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,8,Female,40,1,He crosses not on transit lines,Not on or by (20) meters of a,1
1576,1576,1576,898049,2021,Abu Dhabi,January,Tuesday,Before noon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,There is no definition of regions,Individual,day,Wicked (Bad),fog,Foundation,driver,Driver,Simple,51,Male,80,4,There is no,Not on or by (20) meters of a,1
1577,1577,1577,898050,2021,Abu Dhabi,November,Sunday,Before noon,second week,Shock,Not adhering to the mandatory itinerary,Arabian Gulf Street(Thirty),Residential area,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,32,Male,120,4,There is no,Vertical cross intersection,1
1578,1578,1578,898051,2021,Ras Al Khaimah,June,Saturday,Evening,fourth week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Al -Naeem's positions Mall,Commercial area,Northern,Intersection,Night - Enough lighting,crowded,No Clouds,Temple,driver,Bike,Simple,33,Male,20,2,There is no,A meeting of half -vertical roads,1
