,Unnamed: 0,rec_id,Accident number,Competent Department,Competent Center,Amount rating,Date of the accident,The date and time of the notification,Date and time of first arrival,Date and time of completion of control,End date and time of the operation,Departure date and time,Date and time of return to the center,Accident Group,Type of accident,Direct damage,Acccident scene category,Accident scene,Accident title,The band's work summary,Activity,Weather condition,Road condition,Priority level,Accident size,The cause of the accident,The number of injured people,The number of deaths in the public,The number of injured members of the force,The number of deaths of members of the force
1630,1630,80420,103651,Ras Al Khaimah,Civil Defense Center - Administration,The audience,9/21/2016,2016/09/21-08:51,2016/09/21-08:58,2016/09/21-09:01,9/21/2016 9:06,2016/09/21-09:09,2016/09/21-09:17,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,The area of reunion,Ambulance and rescue,Missing,No Clouds,unclassified,Normal,basic,Traffic accident,1,0,,
1631,1631,80427,103658,Sharjah,Civil Defense Center - Al Dhaid,Police and traffic,9/21/2016,2016/09/21-13:28,2016/09/21-13:42,2016/09/21-13:48,9/21/2016 14:00,2016/09/21-14:02,2016/09/21-14:15,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,High -end area,Disturbing injured,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
1632,1632,80482,103713,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,9/26/2016,2016/09/26-14:57,2016/09/26-14:58,2016/09/26-15:10,9/26/2016 15:30,2016/09/26-15:35,2016/09/26-15:40,Transportation accidents,Deterioration,the person,Other places,Other places,Missing,Fighting a large fire,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,1,0,,
1633,1633,80498,103729,Abu Dhabi,Civil Defense Center - Al -Maqta,Police and traffic,9/27/2016,2016/09/27-07:57,2016/09/27-08:14,2016/09/27-08:20,9/27/2016 8:26,2016/09/27-08:29,2016/09/27-08:35,Transportation accidents,A collision resulted in a fire,Missing,Means of transport,Methods and transport facilities,Missing,cooling,Cars,No Clouds,unclassified,Normal,basic,it is not determined yet,0,0,,
1634,1634,80526,103757,Abu Dhabi,Civil Defense Center - Al -Qubaisat,Police and traffic,9/29/2016,2016/09/29-07:23,2016/09/29-07:35,2016/09/29-08:10,9/29/2016 8:25,2016/09/29-08:30,2016/09/29-08:37,Transportation accidents,Clash,Buses,Means of transport,Methods and transport facilities,After a browsed bridge towards the outside,existence,Missing,I did not specify,unclassified,unclassified,Limited,it is not determined yet,0,0,,
1635,1635,80557,103788,Sharjah,Civil Defense Center - Al Dhaid,Police and traffic,10/1/2016,2016/10/01-04:15,2016/10/01-04:30,2016/10/01-04:38,10/1/2016 4:45,2016/10/01-04:55,2016/10/01-05:10,Transportation accidents,Clash,Cars,governmental,governmental,Car grille,Fire fighting,Cars,No Clouds,natural,Normal,basic,it is not determined yet,0,0,,
1636,1636,80563,103794,Sharjah / Eastern Region,Civil Defense Center - Khor Fakkan,Police and traffic,10/1/2016,2016/10/01-14:37,2016/10/01-14:39,2016/10/01-16:45,10/1/2016 16:47,2016/10/01-16:49,2016/10/01-16:50,Transportation accidents,Deterioration,Trucks,Other places,Streets and squares,Khorfakkan / papyrus,Street cleaning from oils,Missing,No Clouds,natural,Normal,basic,it is not determined yet,0,0,,
1637,1637,80572,103803,Sharjah,Civil Defense Center - Sunan,Police and traffic,10/1/2016,2016/10/01-22:26,2016/10/01-22:30,2016/10/01-22:32,10/1/2016 22:45,2016/10/01-22:55,2016/10/01-22:58,Transportation accidents,Clash,Cars,Industrial,Industrial,Industrial areas 13 opposite Al -Shula School,Ambulance and rescue,Cars,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
1638,1638,80596,103827,Eye,Civil Defense Center - Civil,Military officers and members,10/3/2016,2016/10/03-19:05,2016/10/03-19:09,2016/10/03-19:13,10/3/2016 19:45,2016/10/03-19:48,2016/10/03-19:59,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Ayda Road _ Al Ain,Disturbing injured,Specific,I did not specify,unclassified,Normal,basic,it is not determined yet,1,0,,
1639,1639,80603,103834,Sharjah,Civil Defense Center - Al Dhaid,Police and traffic,10/4/2016,2016/10/04-16:40,2016/10/04-16:48,2016/10/04-16:50,10/4/2016 16:55,2016/10/04-17:08,2016/10/04-17:22,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Al -Madam Al -Badayer Road,rescue,Cars,Rains,natural,Normal,basic,Traffic accident,1,0,,
1640,1640,80620,103851,Fujairah,Civil Defense Center - Administration,The audience,10/5/2016,2016/10/05-11:40,2016/10/05-11:43,2016/10/05-11:45,10/5/2016 11:46,2016/10/05-11:48,2016/10/05-11:50,Transportation accidents,One hundredth,Trucks,Industrial,Industrial,Free Zone - I will,Inspection,Missing,I did not specify,unclassified,unclassified,Limited,it is not determined yet,0,0,,
1641,1641,80641,103872,Ajman,Civil Defense Center - Al -Jarf,Police and traffic,10/6/2016,2016/10/06-21:10,2016/10/06-21:24,2016/10/06-21:34,10/6/2016 21:47,2016/10/06-21:55,2016/10/06-22:17,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Missing,take actions,Missing,No Clouds,natural,Normal,Limited,it is not determined yet,0,0,,
1642,1642,80653,103884,Abu Dhabi,Civil Defense Center - City,Police and traffic,10/7/2016,2016/10/07-17:43,2016/10/07-17:49,2016/10/07-17:55,10/7/2016 18:00,2016/10/07-18:05,2016/10/07-18:10,Transportation accidents,Clash,Cars,governmental,governmental,Behind Hamed Center,Talent,Missing,No Clouds,natural,Normal,Limited,it is not determined yet,0,0,,
1643,1643,80703,103934,Abu Dhabi,Civil Defense Center - Al -Shahama,Police and traffic,10/10/2016,2016/10/10-13:49,2016/10/10-13:58,2016/10/10-14:08,10/10/2016 14:22,2016/10/10-14:30,2016/10/10-14:41,Transportation accidents,Shocked,Missing,Other places,Streets and squares,The spacious area,Fire control and cooling,Missing,No Clouds,natural,Normal,basic,it is not determined yet,0,0,,
1644,1644,80707,103938,Sharjah,Civil Defense Center - Al -Sajaa,Other parties,10/10/2016,2016/10/10-23:54,2016/10/11-00:00,2016/10/11-00:05,10/11/2016 0:50,2016/10/11-01:13,2016/10/11-01:20,Transportation accidents,Clash,Cars,Means of transport,car,Emirates Street near Al -Zubair,rescue,Cars,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
1645,1645,80727,103958,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,10/12/2016,2016/10/12-11:25,2016/10/12-11:34,2016/10/12-11:36,10/12/2016 11:37,2016/10/12-11:41,2016/10/12-12:00,Transportation accidents,Clash,Cars,Industrial,Industrial,Al -Fajr /Al -Hail area,take actions,Missing,No Clouds,natural,Normal,Limited,it is not determined yet,0,0,,
1646,1646,80751,103982,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,10/13/2016,2016/10/13-21:48,2016/10/13-21:57,2016/10/13-22:00,10/13/2016 22:10,2016/10/13-22:11,2016/10/13-22:34,Transportation accidents,Clash,Cars,Other places,Streets and squares,Shawka road towards Mleiha,rescue,Specific,No Clouds,natural,very important,basic,Traffic accident,1,0,,
1647,1647,80753,103984,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/13/2016,2016/10/13-23:44,2016/10/13-23:48,2016/10/13-23:50,10/13/2016 23:58,2016/10/14-00:00,2016/10/14-00:08,Transportation accidents,Deterioration,the person,Other places,Streets and squares,Khuzam area near the intersection of the Ras Al Khaimah Hotel,Ambulance and rescue,Specific,No Clouds,natural,Important,basic,Traffic accident,0,0,,
1648,1648,80776,104007,Umm Al Quwain,Patch Center,The audience,10/15/2016,2016/10/15-02:50,2016/10/15-02:56,2016/10/15-03:11,10/15/2016 3:23,2016/10/15-03:34,2016/10/15-03:39,Transportation accidents,Shocked,Cars,Means of transport,Methods and transport facilities,Kabir area,Fire control and cooling,Missing,No Clouds,natural,Important,basic,it is not determined yet,0,0,,
1649,1649,80784,104015,Ajman,Civil Defense Center - Administration,Military officers and members,10/16/2016,2016/10/16-08:27,2016/10/16-08:31,2016/10/16-08:35,10/16/2016 8:45,2016/10/16-08:46,2016/10/16-08:50,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,Misheerf Commercial Zone,Ambulance and rescue,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
1650,1650,80787,104018,Sharjah,Civil Defense Center - Al -Sajaa,Police and traffic,10/16/2016,2016/10/16-11:34,2016/10/16-11:44,2016/10/16-11:58,10/16/2016 12:15,2016/10/16-12:20,2016/10/16-12:35,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Al -Batayeh area,rescue,Cars,No Clouds,natural,Normal,medium,Traffic accident,3,0,,
1651,1651,80801,104032,Abu Dhabi,Civil Defense Center - Al -Shamkha,Police and traffic,10/17/2016,2016/10/17-13:17,2016/10/17-13:23,2016/10/17-13:24,10/17/2016 13:25,2016/10/17-13:51,2016/10/17-14:09,Transportation accidents,Shocked,Cars,Means of transport,Methods and transport facilities,Missing,Fire inspection,Cars,I did not specify,unclassified,unclassified,Limited,it is not determined yet,0,0,,
1652,1652,80817,104048,Abu Dhabi,Rapid Intervention Center - Mohammed bin Zayed,Police and traffic,10/18/2016,2016/10/18-09:25,2016/10/18-09:37,2016/10/18-09:44,10/18/2016 9:49,2016/10/18-09:53,2016/10/18-10:16,Transportation accidents,Deterioration,Missing,Other places,Other places,Bridge bridge Alfaya towards Abu Dhabi,Disturbing injured,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
1653,1653,80820,104051,Abu Dhabi,Civil Defense Center - Al -Shahama,Police and traffic,10/18/2016,2016/10/18-09:25,2016/10/18-09:31,2016/10/18-10:06,10/18/2016 10:12,2016/10/18-10:17,2016/10/18-10:22,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,The main street is in the direction of Abu Dhabi before Al -Rahba Hospital,Inspection,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
1654,1654,80860,104091,Abu Dhabi,Civil Defense Center - Al -Maqta,Police and traffic,10/19/2016,2016/10/19-18:21,2016/10/19-18:32,2016/10/19-18:36,10/19/2016 19:00,2016/10/19-19:14,2016/10/19-19:20,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Near the Umm Al -Nar Bridge towards Abu Dhabi,Being and preparing,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,2,0,,
1655,1655,80869,104100,Ajman,Civil Defense Center - Industrial,The audience,10/20/2016,2016/10/20-13:03,2016/10/20-13:08,2016/10/20-13:20,10/20/2016 13:25,2016/10/20-13:31,2016/10/20-13:36,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Kindergarten,Inspection,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,1,0,,
1656,1656,80897,104128,Abu Dhabi,Civil Defense Center - Mafraq,Police and traffic,10/22/2016,2016/10/22-20:49,2016/10/22-20:58,2016/10/22-21:14,10/22/2016 21:45,2016/10/22-21:48,2016/10/22-21:55,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Missing,existence,Missing,I did not specify,natural,Normal,medium,it is not determined yet,0,0,,
1657,1657,80899,104130,Sharjah,Civil Defense Center - Administration,Police and traffic,10/22/2016,2016/10/22-23:05,2016/10/22-23:13,2016/10/22-23:14,10/22/2016 23:16,2016/10/22-23:17,2016/10/22-23:25,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Al -Murqab area towards Ajman,Fire fighting,Missing,No Clouds,natural,Normal,basic,it is not determined yet,0,0,,
1658,1658,80906,104137,Abu Dhabi,Civil Defense Center - Al -Maqta,Police and traffic,10/24/2016,2016/10/24-01:28,2016/10/24-01:35,2016/10/24-02:15,10/24/2016 2:20,2016/10/24-02:25,2016/10/24-02:30,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,"Between the two bridges, above the bridge, the palm tree, directed by the Mafraq",Ambulance and transfer of a person,Cars,No Clouds,natural,Important,basic,it is not determined yet,1,0,,
1659,1659,80941,104172,Abu Dhabi,Yas Island Center,Police and traffic,10/26/2016,2016/10/26-08:54,2016/10/26-08:59,2016/10/26-10:05,10/26/2016 10:10,2016/10/26-10:15,2016/10/26-10:20,Transportation accidents,Clash,Cars,governmental,governmental,Yass Island,Inspection,Missing,No Clouds,natural,Normal,Limited,it is not determined yet,0,0,,
1660,1660,80944,104175,Abu Dhabi,Civil Defense Center - Shakhbout City,Police and traffic,10/26/2016,2016/10/26-12:21,2016/10/26-12:55,2016/10/26-13:40,10/26/2016 13:45,2016/10/26-13:50,2016/10/26-14:15,Transportation accidents,Clash,Cars,governmental,governmental,Near Al Dhafra Air Force Base,Directing bodies and confined,Missing,No Clouds,Crowded,Normal,medium,it is not determined yet,1,1,,
1661,1661,80945,104176,Sharjah,Civil Defense Center - Al -Sajaa,Police and traffic,10/26/2016,2016/10/26-14:21,2016/10/26-14:29,2016/10/26-14:31,10/26/2016 14:54,2016/10/26-14:59,2016/10/26-15:07,Transportation accidents,A collision resulted in a fire,Trucks,Means of transport,Methods and transport facilities,Emirates Street from Al -Zubair to Bridge 7,Fire combat and rescue,Transmission,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
1662,1662,80957,104188,Sharjah,Civil Defense Center - Mawlh,The audience,10/27/2016,2016/10/27-11:53,2016/10/27-12:00,2016/10/27-12:03,10/27/2016 12:04,2016/10/27-12:05,2016/10/27-12:13,Transportation accidents,One hundredth,Cars,Public facilities and services,Public places and places,Mawlh,take actions,Cars,No Clouds,natural,Normal,Limited,it is not determined yet,0,0,,
1663,1663,80962,104193,Fujairah,Civil Defense Center - Masafi,The audience,10/27/2016,2016/10/27-16:33,2016/10/27-16:39,2016/10/27-16:41,10/27/2016 17:25,2016/10/27-17:30,2016/10/27-17:40,Transportation accidents,Deterioration,Trucks,Means of transport,Methods and transport facilities,Image,Talent,Missing,No Clouds,natural,unclassified,Limited,it is not determined yet,0,0,,
1664,1664,80965,104196,Sharjah,Civil Defense Center - Al Dhaid,Police and traffic,10/27/2016,2016/10/27-16:28,2016/10/27-16:30,2016/10/27-16:32,10/27/2016 16:33,2016/10/27-16:34,2016/10/27-16:35,Transportation accidents,Clash,Missing,Means of transport,Methods and transport facilities,Missing,take actions,Cars,No Clouds,natural,Normal,Limited,it is not determined yet,0,0,,
1665,1665,80978,104209,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,10/28/2016,2016/10/28-13:16,2016/10/28-13:28,2016/10/28-13:37,10/28/2016 13:49,2016/10/28-13:51,2016/10/28-14:13,Transportation accidents,Clash,Cars,Other places,Streets and squares,Shawka Street towards Al -Munai’i,Separation of a battery,Specific,No Clouds,natural,Important,basic,Traffic accident,0,0,,
1666,1666,80984,104215,Ajman,Civil Defense Center - Industrial,Police and traffic,10/28/2016,2016/10/28-18:51,2016/10/28-18:57,2016/10/28-19:08,10/28/2016 19:43,2016/10/28-20:03,2016/10/28-20:10,Transportation accidents,Clash,Cars,Other places,Other places,Sheikh Mohammed bin Zayed Street,rescue,Missing,No Clouds,natural,very important,medium,it is not determined yet,2,1,,
1667,1667,80989,104220,Umm Al Quwain,Patch Center,Police and traffic,10/29/2016,2016/10/29-08:02,2016/10/29-08:07,2016/10/29-08:12,10/29/2016 8:15,2016/10/29-08:40,2016/10/29-08:52,Transportation accidents,A collision resulted in a fire,Cars,Means of transport,Methods and transport facilities,The navel bridge,Fire control and cooling,Cars,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
1668,1668,81028,104259,Abu Dhabi,Civil Defense Center - Mossafah (M33),Police and traffic,10/31/2016,2016/10/31-20:53,2016/10/31-20:55,2016/10/31-21:18,10/31/2016 21:25,2016/10/31-22:00,2016/10/31-22:03,Transportation accidents,Clash,Missing,Means of transport,Methods and transport facilities,Missing,Fire fighting,Missing,I did not specify,unclassified,very important,basic,it is not determined yet,0,0,,
1669,1669,81045,104276,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/2/2016,2016/11/02-03:00,2016/11/02-03:04,2016/11/02-03:18,11/2/2016 3:24,2016/11/02-03:25,2016/11/02-03:34,Transportation accidents,One hundredth,Cars,Means of transport,Methods and transport facilities,Al -Uraibi area,Ambulance and rescue,Missing,I did not specify,natural,very important,medium,it is not determined yet,1,1,,
1670,1670,81048,104279,Abu Dhabi,Civil Defense Center - Al -Maqta,Police and traffic,11/2/2016,2016/11/02-01:45,2016/11/02-01:48,2016/11/02-01:53,11/2/2016 1:59,2016/11/02-02:34,2016/11/02-02:42,Transportation accidents,Clash,Cars,Means of transport,car,Arabian Gulf Street towards Mossafah at the Emirates Gate,Fire control and cooling,Cars,No Clouds,Crowded,very important,basic,Traffic accident,1,0,,
1671,1671,81049,104280,Abu Dhabi,Civil Defense Center - Al Samha,Police and traffic,11/2/2016,2016/11/02-08:36,2016/11/02-08:43,2016/11/02-08:45,11/2/2016 8:50,2016/11/02-08:52,2016/11/02-08:57,Transportation accidents,Clash,Cars,Means of transport,car,On the Dubai Road towards Abu Dhabi,take actions,Cars,No Clouds,natural,Normal,Limited,it is not determined yet,0,0,,
1672,1672,81059,104290,Eye,Civil Defense Center - Al -Hir,Police and traffic,11/2/2016,2016/11/02-21:53,2016/11/02-21:58,2016/11/02-22:03,11/2/2016 22:22,2016/11/02-22:35,2016/11/02-22:45,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Dubai Road / Al Ain,Fire control and cooling,Transmission,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
1673,1673,81065,104296,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,11/3/2016,2016/11/03-07:37,2016/11/03-07:50,2016/11/03-07:53,11/3/2016 8:00,2016/11/03-08:02,2016/11/03-09:19,Transportation accidents,Clash,Cars,Other places,Streets and squares,Kadra the way of Mleiha's kidneys,Separation of a battery,Specific,No Clouds,natural,Important,basic,Traffic accident,0,0,,
1674,1674,81072,104303,Fujairah,Civil Defense Center - Dibba,Police and traffic,11/3/2016,2016/11/03-13:09,2016/11/03-13:13,2016/11/03-13:20,11/3/2016 13:22,2016/11/03-13:24,2016/11/03-13:25,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Dibba / response,Rescue and transfer injured people,Missing,No Clouds,natural,unclassified,basic,it is not determined yet,1,0,,
1675,1675,81116,104347,Fujairah,Civil Defense Center - Administration,Police and traffic,11/6/2016,2016/11/06-05:37,2016/11/06-05:40,2016/11/06-06:00,11/6/2016 6:05,2016/11/06-06:45,2016/11/06-06:55,Transportation accidents,Clash,Trucks,Public facilities and services,Public places and places,Al -Fajr port signals,Directing confined and transferring injured people,Lump,No Clouds,natural,unclassified,basic,it is not determined yet,1,0,,
1676,1676,81129,104360,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,11/7/2016,2016/11/07-01:25,2016/11/07-01:40,2016/11/07-01:43,11/7/2016 1:55,2016/11/07-01:56,2016/11/07-02:13,Transportation accidents,Clash,Trucks,Other places,Other places,Asfni area near fork crushers,existence,Specific,No Clouds,natural,Normal,Limited,Traffic accident,0,0,,
1677,1677,81135,104366,Abu Dhabi,Civil Defense Center - Al -Falah (Al -Falah City),Police and traffic,11/7/2016,2016/11/07-07:23,2016/11/07-07:40,2016/11/07-07:46,11/7/2016 8:00,2016/11/07-08:03,2016/11/07-08:17,Transportation accidents,Deterioration,trailer,governmental,governmental,Sweihan Road towards Abu Dhabi,Sand -dropped oil coverage,Transmission,No Clouds,natural,Normal,basic,it is not determined yet,0,0,,
1678,1678,81167,104398,Abu Dhabi,Civil Defense Center - Al -Falah (Al -Falah City),Police and traffic,11/8/2016,2016/11/08-21:11,2016/11/08-21:20,2016/11/08-21:42,11/8/2016 22:15,2016/11/08-22:20,2016/11/08-22:25,Transportation accidents,Clash,Cars,governmental,governmental,Above the airport bridge towards Sweihan,Disturbing injured,Missing,No Clouds,natural,Normal,basic,it is not determined yet,3,0,,
1679,1679,81172,104403,Fujairah,Civil Defense Center - Dibba,Police and traffic,11/9/2016,2016/11/09-09:00,2016/11/09-09:14,2016/11/09-09:19,11/9/2016 9:29,2016/11/09-09:39,2016/11/09-09:44,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,The area of prayer,Transfer,Missing,No Clouds,natural,Normal,basic,Traffic accident,2,0,,
1680,1680,81173,104404,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,11/9/2016,2016/11/09-09:52,2016/11/09-10:00,2016/11/09-10:03,11/9/2016 10:06,2016/11/09-10:08,2016/11/09-10:19,Transportation accidents,Deterioration,Cars,Other places,Other places,Kadra towards Seiji,existence,Specific,No Clouds,natural,Normal,Limited,Traffic accident,0,0,,
1681,1681,81177,104408,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,11/9/2016,2016/11/09-14:09,2016/11/09-14:14,2016/11/09-14:19,11/9/2016 14:23,2016/11/09-14:25,2016/11/09-14:47,Transportation accidents,Clash,Missing,Other places,Other places,Street included towards the whispering,rescue,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,2,0,,
1682,1682,81229,104460,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/13/2016,2016/11/13-00:57,2016/11/13-01:07,2016/11/13-01:10,11/13/2016 4:10,2016/11/13-04:12,2016/11/13-04:20,Transportation accidents,Clash,Trucks,Other places,Streets and squares,Destruction near Saqr Park,Rescue people,Specific,No Clouds,natural,very important,basic,Traffic accident,0,0,,
1683,1683,81231,104462,Fujairah,Civil Defense Center - Administration,Military officers and members,11/13/2016,2016/11/13-08:07,2016/11/13-08:09,2016/11/13-08:11,11/13/2016 8:13,2016/11/13-08:15,2016/11/13-08:17,Transportation accidents,Clash,Cars,Other places,Streets and squares,You will be,Separation of a battery,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
1684,1684,81246,104477,Abu Dhabi,Civil Defense Center - Al -Shamkha,Police and traffic,11/14/2016,2016/11/14-09:47,2016/11/14-10:01,2016/11/14-10:12,11/14/2016 10:49,2016/11/14-10:55,2016/11/14-11:10,Transportation accidents,Clash,Cars,Means of transport,car,South Al -Shamkha / Behind the cemetery,Disturbing injured,Cars,No Clouds,natural,Important,basic,it is not determined yet,3,0,,
1685,1685,81255,104486,Sharjah,Civil Defense Center - Mawlh,The audience,11/14/2016,2016/11/14-16:41,2016/11/14-16:47,2016/11/14-16:49,11/14/2016 17:20,2016/11/14-17:22,2016/11/14-17:30,Transportation accidents,Deterioration,load,Public facilities and services,Public places and places,Sheikh Mohammed bin Zayed Street,Being and preparing,Missing,No Clouds,Crowded,Normal,Limited,it is not determined yet,0,0,,
1686,1686,81260,104491,Sharjah,Civil Defense Center - Al -Sajaa,Police and traffic,11/15/2016,2016/11/15-05:49,2016/11/15-05:57,2016/11/15-06:01,11/15/2016 6:08,2016/11/15-06:15,2016/11/15-06:20,Transportation accidents,A collision resulted in a fire,Cars,governmental,governmental,"Near the university city, Mouileh Street",cooling,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,0,0,,
1687,1687,81270,104501,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/16/2016,2016/11/16-07:35,2016/11/16-07:39,2016/11/16-07:42,11/16/2016 7:43,2016/11/16-07:45,2016/11/16-07:56,Transportation accidents,Deterioration,Missing,Other places,Other places,The Red Island,take actions,Missing,I did not specify,unclassified,unclassified,Limited,it is not determined yet,0,0,,
1688,1688,81286,104517,Abu Dhabi,Civil Defense Center - Al Samha,Police and traffic,11/16/2016,2016/11/16-22:28,2016/11/16-22:35,2016/11/16-22:40,11/17/2016 1:20,2016/11/17-01:30,2016/11/17-01:40,Transportation accidents,Clash,Cars,governmental,governmental,Near the new ADNOC Al -Sumaih station,existence,Missing,No Clouds,natural,Normal,medium,it is not determined yet,4,1,,
1689,1689,81348,104579,Dubai,Federation Center,Civil defense departments and centers,11/21/2016,2016/11/21-09:03,2016/11/21-09:05,2016/11/21-09:10,11/21/2016 9:15,2016/11/21-09:20,2016/11/21-09:29,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,"Bur Dubai - Zabeel, the intersection of the commercial center",Rescue people,Missing,No Clouds,natural,Normal,basic,it is not determined yet,2,0,,
1690,1690,81357,104588,Fujairah,Civil Defense Center - Al -Taween,Police and traffic,11/22/2016,2016/11/22-14:51,2016/11/22-14:55,2016/11/22-14:58,11/22/2016 15:00,2016/11/22-15:40,2016/11/22-15:45,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Al -Tawyin Internal Street,take actions,Missing,No Clouds,natural,unclassified,basic,it is not determined yet,3,0,,
1691,1691,81372,104603,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/23/2016,2016/11/23-17:10,2016/11/23-17:16,2016/11/23-17:32,11/23/2016 17:39,2016/11/23-17:54,2016/11/23-18:00,Transportation accidents,Deterioration,Cars,Other places,Streets and squares,Whisper,rescue,Missing,No Clouds,natural,Important,basic,it is not determined yet,1,0,,
1692,1692,81384,104615,Sharjah,Civil Defense Center - Sunan,Civil defense departments and centers,11/24/2016,2016/11/24-14:53,2016/11/24-15:07,2016/11/24-15:10,11/24/2016 15:12,2016/11/24-15:16,2016/11/24-15:34,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,Sheikh Mohammed bin Zayed Street near the reserve,existence,Cars,Clouds,natural,Normal,basic,Traffic accident,1,0,,
1693,1693,81385,104616,Sharjah,Madame Unit,Police and traffic,11/24/2016,2016/11/24-16:43,2016/11/24-16:55,2016/11/24-17:00,11/24/2016 17:45,2016/11/24-18:00,2016/11/24-18:15,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Al -Faya Road,rescue,Cars,Clouds,natural,Normal,medium,Traffic accident,1,1,,
1694,1694,81429,104660,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,11/27/2016,2016/11/27-20:06,2016/11/27-20:10,2016/11/27-20:13,11/27/2016 20:18,2016/11/27-20:30,2016/11/27-20:35,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Station,Disturbing injured,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,0,0,,
1695,1695,81434,104665,Abu Dhabi,Civil Defense Center - Al -Mina Street,The audience,11/28/2016,2016/11/28-05:40,2016/11/28-05:42,2016/11/28-05:44,11/28/2016 5:50,2016/11/28-05:58,2016/11/28-06:00,Transportation accidents,One hundredth,Cars,Means of transport,Methods and transport facilities,Corniche Street near the French base,Carrying a car,Cars,No Clouds,natural,Important,basic,it is not determined yet,0,0,,
1696,1696,81435,104666,Dubai,Al -Rashidiya Center,Police and traffic,11/28/2016,2016/11/28-10:22,2016/11/28-10:45,2016/11/28-11:30,11/28/2016 11:45,2016/11/28-11:49,2016/11/28-12:35,Transportation accidents,Deterioration,Trucks,Means of transport,Truck,Deira - Emirates Street Exit Al -Awir,Being and preparing,Transmission,No Clouds,natural,Normal,Limited,it is not determined yet,0,0,,
1697,1697,81437,104668,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,11/28/2016,2016/11/28-13:01,2016/11/28-13:38,2016/11/28-13:41,11/28/2016 13:48,2016/11/28-13:53,2016/11/28-14:00,Transportation accidents,Deterioration,Missing,Public facilities and services,Public places and places,Missing,take actions,Missing,No Clouds,natural,unclassified,Limited,it is not determined yet,0,0,,
1698,1698,81467,104698,Fujairah,Civil Defense Center - Administration,Police and traffic,11/30/2016,2016/11/30-18:11,2016/11/30-18:23,2016/11/30-18:25,11/30/2016 18:35,2016/11/30-18:50,2016/11/30-19:10,Transportation accidents,Clash,Missing,Means of transport,Methods and transport facilities,Sample,Separation of a battery,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,0,0,,
